"Nom";"Entitat";"GVA - Codi Inventari";"Estat";"Tipus";"GVA - Codi Article";"GVA - Descripció Codi Article";"Número de sèrie";"Fabricant";"Model";"GVA - Espai Destí";"GVA - Descripció Espai Destí";
"VODAFONE MOBILE_WIFI_R219H (25884)";"12004217 - IES EL CAMINÀS";"70025884";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21531003033";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25885)";"12004217 - IES EL CAMINÀS";"70025885";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005616";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25886)";"12004217 - IES EL CAMINÀS";"70025886";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21521005362";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25887)";"12004217 - IES EL CAMINÀS";"70025887";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000700";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25888)";"12004217 - IES EL CAMINÀS";"70025888";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21527000270";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25889)";"12004217 - IES EL CAMINÀS";"70025889";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21528006569";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25890)";"12004217 - IES EL CAMINÀS";"70025890";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524000687";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25891)";"12004217 - IES EL CAMINÀS";"70025891";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21525000142";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25892)";"12004217 - IES EL CAMINÀS";"70025892";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002067";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25893)";"12004217 - IES EL CAMINÀS";"70025893";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21524002165";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25894)";"12004217 - IES EL CAMINÀS";"70025894";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21603000839";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25895)";"12004217 - IES EL CAMINÀS";"70025895";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21519002877";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25896)";"12004217 - IES EL CAMINÀS";"70025896";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21518006031";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
"VODAFONE MOBILE_WIFI_R219H (25897)";"12004217 - IES EL CAMINÀS";"70025897";"Activo > Nuevo";"MIFI";"MIL1";"MIFI 2021 RED.ES";"97XDW21603000099";"Vodafone";"MOBILE_WIFI_R219H";"0650470";"MATERIAL INFORMATICO CENTRO -";
